"","pID","condition","know_pd_1","know_pd_2","know_pd_3","know_pd_4","l_cards","donate_1","motivation_1","motivation_2","motivation_3","motivation_4","motivation_5","motivation_6","motivation_7","motivation_8","motivation_9","motivation_10","motivation_11","motivation_12","motivation_13","motivation_14","motivation_15","motivation_16","motivation_17","motivation_18","motivation_19","motivation_20","motivation_21","motivation_22","motivation_23","motivation_24","motivation_25","motivation_26","motivation_27","motivation_28","motivation_29","motivation_30","Gender","Age","Birth","Country","Qualificat","Employment","Profession","prosoc_1","prosoc_2","prosoc_3","prosoc_4","prosoc_5","prosoc_6","prosoc_7","prosoc_8","prosoc_9","prosoc_10","prosoc_11","prosoc_12","prosoc_13","prosoc_14","prosoc_15","prosoc_16","prosoc_17","prosoc_18","prosoc_19","prosoc_20","prosoc_21","prosoc_22","prosoc_23","alt_beh1","alt_beh2","alt_beh3","alt_beh4","alt_beh5","alt_beh6","alt_beh7","alt_beh9","alt_beh8","alt_beh11","alt_beh14","alt_beh10","alt_beh12","alt_beh13","empathy_1","empathy_2","empathy_3","empathy_4","empathy_5","empathy_7","empathy_8","empathy_9","empathy_10","empathy_11","empathy_12","empathy_13","empathy_14","empathy_15","empathy_16","empathy_17","empathy_18","empathy_19","empathy_20","empathy_21","empathy_22","empathy_23","empathy_24","empathy_25","empathy_6","empathy_26","empathy_27","empathy_28","big5_1","big5_2","big5_3","big5_4","big5_5","big5_6","big5_7","big5_8","big5_9","big5_10","big5_11","big5_12","big5_13","big5_14","big5_15","big5_16","big5_17","big5_18","big5_19","big5_20","big5_21","big5_22","big5_23","big5_24","big5_25","big5_26","big5_27","big5_28","big5_29","big5_30","big5_31","big5_32","big5_33","big5_34","big5_35"
"151",151,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",154,1,NA,1,NA,NA,NA,1,2,4,3,1,5,1,4,1,1,2,4,1,3,1,1,5,2,5,3,5,1,5,3,3,4,1,1,1,2,2,1,20,2,1,3,5,"",1,3,2,2,1,4,4,3,4,3,2,3,3,4,3,1,1,4,3,1,2,1,3,3,3,3,4,2,4,4,1,4,4,1,4,4,4,4,4,2,2,3,2,3,4,2,4,2,4,2,3,3,3,1,4,4,5,3,3,2,4,2,3,1,4,9,7,8,7,7,8,8,8,8,7,6,7,9,8,7,8,9,8,6,7,8,6,5,5,3,9,7,3,7,7,7,8,7,8,6
"155",155,1,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",156,1,NA,1,NA,NA,NA,3,3,5,4,3,5,3,3,3,4,4,4,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",157,1,NA,1,NA,NA,NA,7,5,4,4,5,4,5,4,3,5,3,5,4,5,5,1,3,5,4,5,4,2,2,4,1,2,1,4,5,5,2,2,20,2,1,3,5,"",1,3,2,1,2,3,3,4,4,1,2,3,4,4,2,1,5,4,3,3,3,1,5,5,1,3,3,2,3,5,1,4,1,4,4,5,4,5,4,1,1,5,1,4,3,2,4,1,4,1,4,4,2,2,5,4,4,3,4,1,4,3,5,5,1,8,4,9,8,7,7,7,8,7,7,3,7,6,7,6,9,6,7,7,4,8,5,7,5,2,6,8,2,7,5,5,5,9,8,3
"166",166,1,1,NA,NA,NA,NA,5,4,4,5,3,4,2,4,4,4,4,4,5,4,3,2,2,4,4,4,4,3,4,4,3,3,4,4,4,3,5,1,18,1,1,3,5,"",1,3,3,1,2,2,3,3,2,3,3,1,2,2,2,1,1,3,3,1,2,2,3,3,1,1,3,1,1,3,1,3,1,1,1,3,1,5,3,2,1,4,2,3,4,4,2,1,2,2,1,4,4,1,3,4,4,4,4,3,4,4,5,2,2,3,5,4,4,5,5,4,6,8,7,8,7,7,3,9,6,4,4,6,6,5,7,6,4,2,9,7,5,8,8,7,6,7,4,4
"167",167,1,NA,NA,1,NA,NA,6,4,3,4,3,3,4,3,1,4,1,5,4,3,4,1,3,4,3,5,3,3,3,4,1,3,2,4,4,2,4,1,36,2,1,3,5,"",1,3,1,1,1,4,4,4,2,1,2,2,1,5,3,1,1,4,2,1,1,2,1,4,4,1,4,4,3,4,1,4,1,4,3,5,4,1,2,1,4,3,3,4,4,1,4,3,5,4,2,2,1,2,5,3,5,2,3,1,4,1,3,1,4,6,7,7,7,6,8,7,7,9,9,8,9,6,8,7,8,8,9,8,9,7,9,8,7,9,9,8,6,8,8,7,9,9,8,5
"169",169,1,NA,1,1,NA,NA,3,3,4,3,3,5,2,5,3,3,2,3,3,4,3,2,5,3,5,3,5,3,5,2,3,5,3,4,3,3,2,2,45,1,1,6,1,"University lecturer",1,3,1,2,1,3,3,3,2,2,2,3,1,3,3,2,2,3,3,1,3,3,3,4,3,4,4,3,3,3,1,3,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",175,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",179,1,NA,1,1,NA,NA,3,3,3,4,2,5,2,3,1,3,1,3,2,4,2,1,4,1,5,4,5,1,5,4,2,5,1,3,3,3,2,2,37,2,1,5,1,"Administration manager",1,1,3,1,1,3,5,1,3,1,2,3,1,3,3,1,1,4,2,1,2,1,1,5,1,1,5,1,2,4,2,3,2,3,1,2,4,2,1,2,3,1,4,3,4,2,3,5,4,4,3,1,1,2,4,2,5,2,1,1,1,1,1,1,2,9,7,9,8,7,8,8,7,7,7,6,9,6,9,6,7,5,9,8,5,8,5,7,8,9,8,7,7,7,7,6,8,5,3,1
"194",194,1,NA,1,NA,NA,NA,4,1,2,3,4,4,1,4,1,4,4,5,3,3,2,3,2,4,4,2,3,4,4,3,1,3,2,3,1,1,3,1,19,1,1,3,5,"",5,5,3,3,5,3,4,4,5,3,4,3,3,5,4,3,2,4,2,4,4,2,3,5,1,1,4,3,4,4,1,2,1,1,3,5,4,5,2,2,3,2,3,3,4,3,3,1,4,1,4,2,3,4,5,1,3,3,2,1,2,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",206,1,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",220,1,NA,1,NA,NA,NA,6,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,23,1,1,5,5,"",2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,3,3,4,4,3,4,4,3,3,3,3,3,3,5,2,3,2,5,1,5,5,4,4,1,4,4,1,5,4,2,5,5,4,4,4,1,5,2,5,1,4,6,6,5,7,5,7,6,7,7,8,6,7,8,6,8,8,8,8,8,9,6,6,7,2,3,8,8,2,8,8,8,8,9,7,7
"221",221,1,NA,1,NA,NA,NA,4,3,2,4,4,2,4,4,2,3,2,3,2,4,3,2,2,4,3,4,4,2,2,4,2,4,2,2,2,2,3,2,21,1,1,3,5,"",1,4,1,1,1,3,4,3,3,1,2,2,1,3,3,1,1,3,4,2,1,2,1,3,1,3,3,2,2,1,1,4,2,1,3,3,2,4,4,2,3,5,1,3,4,2,4,1,5,4,2,2,3,1,3,3,1,1,2,1,3,1,2,1,4,3,7,6,7,5,5,8,4,6,7,3,8,8,4,2,5,4,4,6,4,7,7,9,4,5,9,5,7,5,8,9,6,8,7,6
"222",222,1,NA,1,NA,NA,NA,2,2,4,4,2,4,2,4,2,2,2,2,2,2,2,2,4,4,4,4,4,2,4,4,2,4,2,2,2,2,2,2,26,1,1,6,1,"statistician",1,4,3,1,1,2,2,5,2,2,2,3,1,2,3,1,1,2,3,1,1,2,2,3,3,3,3,1,2,3,1,3,1,1,1,4,1,3,2,4,1,1,4,4,2,4,4,5,4,2,1,1,4,1,4,4,4,4,2,1,3,1,1,1,4,3,7,5,3,8,7,8,5,7,8,5,7,7,7,7,7,7,7,7,7,7,4,6,4,5,7,7,4,6,9,7,7,4,3,7
"223",223,1,1,1,NA,NA,NA,7,5,4,3,5,4,3,5,2,3,2,4,3,4,4,1,4,4,5,5,5,3,4,4,2,4,2,3,4,3,4,2,23,2,1,3,5,"",1,4,1,2,1,4,4,3,4,2,2,5,1,4,2,3,3,4,2,1,3,2,2,5,3,2,5,4,3,5,1,5,3,2,2,5,4,4,4,2,5,4,2,5,4,2,4,2,2,1,2,4,2,1,4,4,5,4,4,2,3,2,4,3,3,8,8,9,5,9,6,8,7,7,7,7,7,8,7,6,7,7,6,6,6,5,6,5,7,6,7,8,4,7,7,6,9,9,7,7
"232",232,1,NA,1,NA,NA,NA,5,4,4,4,3,4,3,5,5,4,3,3,3,4,4,2,5,4,5,4,4,2,5,2,3,4,2,4,4,4,3,1,34,2,1,6,5,"urban deisgner ",2,3,2,3,2,4,4,4,3,2,4,4,4,3,4,2,4,4,5,2,4,3,4,5,3,3,3,3,4,5,3,4,2,4,3,4,4,4,4,4,2,4,4,4,4,3,4,2,4,2,4,4,2,2,4,4,4,4,4,2,4,3,5,4,4,6,7,5,8,8,5,8,7,7,7,7,7,8,8,8,8,7,7,8,7,5,8,7,7,7,7,8,4,7,9,8,7,9,9,8
"233",233,1,1,NA,NA,NA,NA,7,2,5,5,2,4,1,2,1,4,1,5,1,2,1,3,4,3,4,3,4,2,4,3,3,4,1,4,2,4,2,2,20,1,1,5,5,"assistant restaurant manager",1,4,1,1,1,5,3,1,5,1,2,5,1,3,3,1,1,2,4,2,3,1,1,5,4,3,3,2,4,5,1,3,1,4,4,2,3,4,2,2,2,4,3,2,4,5,3,1,5,3,4,5,2,1,5,3,3,3,3,2,2,1,4,1,1,5,7,9,8,7,8,8,8,6,6,7,2,7,7,6,6,7,7,4,6,5,3,5,5,2,3,6,2,7,8,7,9,8,8,7
"242",242,1,NA,1,NA,NA,NA,4,3,4,4,3,4,3,5,3,3,3,2,3,4,3,2,5,4,5,4,4,2,5,3,3,5,3,3,3,3,5,1,18,1,1,3,5,"",2,4,3,2,2,1,2,3,1,3,1,4,2,3,1,2,4,3,4,3,2,3,2,3,3,2,4,3,3,4,1,4,3,3,3,5,3,5,3,1,3,3,3,5,5,3,5,2,4,4,3,3,3,2,4,3,5,3,4,2,4,1,3,3,3,6,7,7,7,7,6,6,7,7,7,6,4,5,4,6,4,6,9,6,4,5,9,9,9,4,7,6,4,7,8,6,6,7,8,7
"253",253,1,NA,1,NA,NA,NA,7,4,4,4,3,4,2,4,3,3,2,4,2,4,4,2,4,4,4,4,4,2,4,4,2,4,1,3,3,3,2,2,21,1,1,7,5,"",2,3,1,1,2,3,4,1,2,4,2,3,2,2,1,1,3,3,2,2,2,1,1,3,1,1,4,3,3,5,1,4,1,2,1,3,3,4,2,1,1,5,1,2,2,3,5,1,1,1,2,5,2,1,2,4,4,1,4,1,5,2,4,1,3,5,7,5,5,7,4,6,5,7,7,7,6,8,7,6,7,6,7,6,7,6,4,4,4,6,5,4,5,6,6,8,6,5,4,5
"260",260,1,NA,1,NA,NA,NA,6,2,4,3,2,4,2,4,2,2,3,4,2,3,2,2,4,3,4,4,4,2,4,4,2,4,2,4,2,2,4,2,20,1,1,3,5,"",1,4,1,1,1,3,3,1,3,1,2,3,1,3,1,1,2,3,2,2,3,1,1,4,1,1,5,3,4,3,1,4,1,3,3,3,5,4,2,2,4,5,2,5,5,5,3,1,2,3,3,2,5,2,1,5,3,2,2,3,4,5,2,5,3,1,2,1,1,2,2,4,4,7,5,2,5,5,2,8,7,6,7,6,2,7,7,5,2,2,7,6,4,7,7,6,6,6,4,3
"263",263,1,NA,1,NA,NA,NA,1,1,3,1,1,3,1,4,1,1,1,1,1,2,1,1,3,1,2,1,2,1,3,1,1,3,1,1,1,1,3,1,18,1,1,3,5,"",1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,1,1,2,2,4,1,3,1,1,1,5,2,3,1,1,5,1,1,5,1,1,3,3,5,5,4,1,1,5,4,1,5,1,1,1,1,1,1,1,2,3,5,2,5,4,7,3,1,2,5,4,1,1,5,9,6,7,8,9,7,5,3,4,5,5,6,1,9,8,8,5,8,6,5,8
"266",266,1,NA,1,NA,NA,NA,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,1,20,1,1,5,5,"",2,3,4,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,4,2,3,2,2,4,1,3,3,4,3,3,1,3,3,3,1,3,4,4,4,3,3,4,3,2,4,3,4,3,3,3,3,3,4,1,2,4,2,4,4,3,3,3,3,2,2,6,6,9,6,3,4,3,8,7,6,5,7,7,7,4,8,7,6,5,6,2,6,6,3,5,7,5,2,5,7,7,8,6,6,4
"267",267,1,NA,1,NA,NA,NA,4,4,4,3,4,2,4,2,1,4,1,3,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",278,1,NA,1,NA,NA,NA,7,3,2,5,5,4,4,4,1,5,2,4,4,5,4,3,3,5,4,3,4,3,3,5,3,4,2,5,4,4,4,1,24,2,1,6,5,"",1,4,2,1,2,3,3,1,2,4,1,3,1,3,3,1,2,3,4,1,4,1,1,3,1,1,1,2,2,5,1,4,1,1,1,3,1,5,3,2,2,4,3,5,3,4,4,1,3,2,3,4,3,2,4,4,5,4,5,2,4,2,5,4,4,6,8,9,2,9,7,6,8,7,7,4,7,8,7,9,9,8,8,9,9,4,7,5,4,6,8,8,3,9,8,7,7,6,7,8
"286",286,1,NA,1,NA,NA,NA,7,4,2,5,3,4,4,4,2,3,2,3,2,4,4,3,4,5,4,5,4,4,4,4,2,2,3,4,3,5,4,2,19,1,1,3,5,"",2,5,2,1,4,1,5,1,1,1,2,4,1,2,1,1,4,5,1,3,4,1,1,3,2,2,5,5,1,3,1,4,1,1,2,3,2,2,4,2,1,4,1,4,5,2,4,1,1,1,2,2,2,1,1,4,2,4,4,1,2,2,4,4,1,4,5,6,4,7,6,4,7,8,7,4,6,4,8,8,8,8,6,7,6,7,6,4,4,3,6,4,2,7,8,8,6,6,6,8
"292",292,1,NA,1,NA,NA,NA,4,4,4,4,4,3,3,3,4,4,3,4,3,4,4,2,3,4,3,3,3,2,3,4,3,4,3,2,3,4,3,1,18,1,1,3,5,"",1,2,1,1,1,2,2,3,4,4,2,1,1,3,3,1,1,2,3,2,3,2,1,3,2,2,3,3,2,2,1,3,2,1,1,3,2,1,3,3,1,1,3,4,3,3,3,3,4,2,2,2,3,2,3,2,4,2,2,1,2,1,2,1,2,5,5,6,5,3,3,4,4,5,7,5,5,6,4,5,5,5,5,7,4,7,7,6,5,5,7,6,7,6,7,6,4,4,4,5
"293",293,1,1,NA,NA,NA,NA,5,5,4,4,4,4,4,5,2,2,4,4,2,4,5,2,4,4,4,5,5,2,4,4,3,4,4,4,4,4,2,2,18,1,1,3,5,"",1,4,4,2,3,3,4,3,3,2,4,4,1,4,4,2,4,4,5,2,3,3,3,3,3,2,5,5,1,4,1,3,3,1,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295",295,1,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",304,1,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",308,1,NA,1,1,NA,NA,4,2,4,4,2,4,2,2,2,3,2,4,3,4,2,2,4,4,4,4,4,2,4,4,4,4,2,2,2,4,2,2,30,1,1,6,2,"legal adviser",1,4,1,1,1,4,3,4,1,1,2,4,1,4,2,1,2,2,2,1,4,1,1,4,3,3,4,1,4,4,1,3,3,1,1,1,1,1,3,3,1,3,2,2,4,4,4,1,4,1,2,1,2,1,4,4,2,4,2,1,4,1,4,1,3,2,9,3,5,8,5,3,6,7,5,5,5,8,5,9,9,7,8,9,9,6,6,5,5,6,5,5,8,7,7,3,6,5,2,5
"330",330,1,1,NA,NA,NA,NA,7,3,2,3,5,2,3,3,1,3,2,3,2,3,4,2,2,2,3,3,2,2,3,4,2,4,2,4,3,2,4,1,18,1,1,3,5,"",1,3,2,1,1,2,2,1,2,1,2,2,2,2,3,1,2,2,1,1,2,1,3,3,1,2,1,1,1,1,1,3,1,1,1,3,1,3,1,2,4,3,3,3,4,2,2,1,3,3,2,1,1,4,3,2,3,3,3,2,2,2,3,1,2,5,6,5,6,6,6,5,4,7,6,5,5,6,5,6,6,5,7,6,5,6,5,8,5,8,7,8,5,8,7,5,6,7,6,6
"341",341,1,1,NA,NA,NA,NA,1,2,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,3,4,3,3,1,20,2,1,5,5,"",3,3,3,3,4,4,3,3,3,2,2,3,2,2,2,4,2,2,3,3,3,3,3,4,2,3,2,4,3,3,3,3,2,2,3,4,2,3,4,4,3,3,1,3,2,3,2,2,2,2,3,3,3,3,3,4,3,3,4,3,2,3,2,2,4,3,4,5,8,4,4,6,5,4,5,4,4,5,5,4,5,5,5,5,4,6,3,7,6,7,4,7,6,3,7,7,3,5,5,6
"344",344,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345",345,1,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351",351,1,NA,1,NA,NA,NA,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,21,1,1,5,5,"",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"355",355,1,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361",361,1,1,NA,NA,NA,NA,4,3,3,3,1,3,3,1,3,3,1,5,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
